id   	 sen_id 	 va_id 	 ori_gold 	 final_gold 	 pred    	 ex_condition  	 worker_decision   	 final_label 	 dataset
2860	1392	7990	he~A0~5	he~A0~5	he~A0~5	main_workflow	solved by compare	he~A0~5	SRL_large_scale
2861	1392	7991	'' Today exports and business investment spending may be insufficient to pick up the slack if stock prices sink this week and if consumers retrench in reaction .~A1~5	'' Today exports and business investment spending may be insufficient to pick up the slack if stock prices sink this week and if consumers retrench in reaction .~A1~5	'' Today exports and business investment spending may be insufficient to pick up the slack if stock prices sink this week and if consumers retrench in reaction .~A1~5	main_workflow	solved by compare	'' Today exports and business investment spending may be insufficient to pick up the slack if stock prices sink this week and if consumers retrench in reaction .~A1~5	SRL_large_scale
2862	1392	7992	the slack~A1~16	the slack~A1~16	the slack~A1~16	main_workflow	solved by compare	the slack~A1~16	SRL_large_scale
2863	1392	7993	stock prices~A1~23	stock prices~A1~23	stock prices~A1~23	main_workflow	solved by compare	stock prices~A1~23	SRL_large_scale
2864	1392	7994	this week~AM-TMP~23	this week~AM-TMP~23	this week~AM-TMP~23	main_workflow	solved by compare	this week~AM-TMP~23	SRL_large_scale
2865	1638	9365	Also~AM-DIS~2	Also~AM-DIS~2	Also~AM-DIS~2	main_workflow	solved by fix	Also~AM-DIS~2	SRL_large_scale
2866	1638	9366	in the suit~AM-LOC~2	in the suit~AM-LOC~2	in the suit~AM-LOC~2	main_workflow	solved by compare	in the suit~AM-LOC~2	SRL_large_scale
2867	1638	9367	Ivan F. Boesky Corp. and Northview Corp. , the successor company to Vagabonds Hotels~A1~2	Ivan F. Boesky Corp. and Northview Corp. , the successor company to Vagabonds Hotels~A1~2	Ivan F. Boesky Corp. and Northview Corp. , the successor company to Vagabonds Hotels~A1~2	main_workflow	solved by compare	Ivan F. Boesky Corp. and Northview Corp. , the successor company to Vagabonds Hotels~A1~2	SRL_large_scale
2868	1541	8815	The rights~A0~3	The rights~A0~3	The rights~A0~3	main_workflow	solved by filter	The rights~A0~3	SRL_large_scale
2869	1541	8816	shareholders~A1~3	shareholders~A1~3	shareholders~A1~3	main_workflow	solved by compare	shareholders~A1~3	SRL_large_scale
2870	1541	8818	shareholders~A0~6	shareholders~A0~6	shareholders~A0~6	main_workflow	solved by compare	shareholders~A0~6	SRL_large_scale
2871	1541	8819	Quest stock~A1~6	Quest stock~A1~6	Quest stock~A1~6	main_workflow	solved by compare	Quest stock~A1~6	SRL_large_scale
2872	1541	8820	at a discount~AM-MNR~6	at a discount~AM-MNR~6	at a discount~A3~6	main_workflow	solved by compare	at a discount~A3~6	SRL_large_scale
2873	1541	8822	any person or group~A0~17	any person or group~A0~17	any person or group~A0~17	main_workflow	solved by filter	any person or group~A0~17	SRL_large_scale
2874	1541	8823	more than 15 % of the company 's common stock~A1~17	more than 15 % of the company 's common stock~A1~17	more than 15 % of the company 's common stock~A1~17	main_workflow	solved by compare	more than 15 % of the company 's common stock~A1~17	SRL_large_scale
2875	1541	8824	any person or group~A0~29	any person or group~A0~29	any person or group~A0~29	main_workflow	solved by compare	any person or group~A0~29	SRL_large_scale
2876	1541	8825	a tender offer~A1~29	a tender offer~A1~29	a tender offer~A1~29	main_workflow	solved by fix	a tender offer~A1~29	SRL_large_scale
2877	1295	7398	He~A0~2	He~A0~2	He~A0~2	main_workflow	solved by compare	He~A0~2	SRL_large_scale
2878	1295	7399	another crash is `` unlikely~A1~2	another crash is `` unlikely~A1~2	another crash is `` unlikely~A1~2	main_workflow	solved by compare	another crash is `` unlikely~A1~2	SRL_large_scale
2879	1295	7400	He~A0~11	He~A0~11	He~A0~11	main_workflow	solved by filter	He~A0~11	SRL_large_scale
2880	1295	7401	he was `` nibbling at '' selected stocks during Friday 's plunge~A1~11	he was `` nibbling at '' selected stocks during Friday 's plunge~A1~11	he was `` nibbling at '' selected stocks during Friday 's plunge~A1~11	main_workflow	solved by compare	he was `` nibbling at '' selected stocks during Friday 's plunge~A1~11	SRL_large_scale
2881	68	409	The spacecraft 's five astronauts~A0~8	The spacecraft 's five astronauts~A0~8	The spacecraft 's five astronauts~A0~8	main_workflow	solved by filter	The spacecraft 's five astronauts~A0~8	SRL_large_scale
2882	68	410	the Galileo space probe~A1~8	the Galileo space probe~A1~8	the Galileo space probe~A1~8	main_workflow	solved by filter	the Galileo space probe~A1~8	SRL_large_scale
2883	68	411	on an exploration mission to Jupiter~AM-LOC~8	on an exploration mission to Jupiter~AM-LOC~8	on an exploration mission to Jupiter~AM-LOC~8	main_workflow	solved by compare	on an exploration mission to Jupiter~AM-LOC~8	SRL_large_scale
