+------+--------+-------+--------------+--------------+--------------+---------------+-------------------+--------------+-----------------+
| id   | sen_id | va_id | ori_gold     | final_gold   | pred         | ex_condition  | worker_decision   | final_label  | dataset         |
+------+--------+-------+--------------+--------------+--------------+---------------+-------------------+--------------+-----------------+
| 2401 |   1392 |  3225 | pick.04      | pick.04      | pick.04      | main_workflow | solved by fix     | pick.05      | WSD_large_scale |
| 2402 |   1392 |  3226 | sink.01      | sink.01      | sink.01      | main_workflow | solved by filter  | sink.01      | WSD_large_scale |
| 2403 |   1638 |  3789 | name.01      | name.01      | name.01      | main_workflow | solved by filter  | name.01      | WSD_large_scale |
| 2404 |   1541 |  3558 | allow.01     | allow.01     | allow.01     | main_workflow | solved by filter  | allow.01     | WSD_large_scale |
| 2405 |   1295 |  2976 | think.01     | think.01     | think.01     | main_workflow | solved by filter  | think.01     | WSD_large_scale |
| 2406 |   1295 |  2977 | say.01       | say.01       | say.01       | main_workflow | solved by compare | say.01       | WSD_large_scale |
| 2407 |   2498 |  5697 | set.03       | set.03       | set.03       | main_workflow | solved by compare | set.03       | WSD_large_scale |
| 2408 |   2498 |  5698 | fire.01      | fire.01      | fire.02      | main_workflow | solved by compare | fire.01      | WSD_large_scale |
| 2409 |    721 |  1647 | introduce.02 | introduce.02 | introduce.02 | main_workflow | solved by filter  | introduce.02 | WSD_large_scale |
| 2410 |    721 |  1648 | watch.01     | watch.01     | watch.01     | main_workflow | solved by filter  | watch.01     | WSD_large_scale |
| 2411 |   1650 |  3821 | assemble.02  | assemble.02  | assemble.02  | main_workflow | solved by compare | assemble.02  | WSD_large_scale |
| 2412 |   1650 |  3822 | produce.01   | produce.01   | produce.01   | main_workflow | solved by filter  | produce.01   | WSD_large_scale |
| 2413 |   1650 |  3823 | break.06     | break.13     | break.01     | main_workflow | solved by compare | break.13     | WSD_large_scale |
| 2414 |    903 |  2051 | reflect.01   | reflect.01   | reflect.01   | main_workflow | solved by filter  | reflect.01   | WSD_large_scale |
| 2415 |   1481 |  3420 | mount.02     | mount.02     | mount.02     | main_workflow | solved by filter  | mount.02     | WSD_large_scale |
| 2416 |   1481 |  3421 | pour.01      | pour.01      | pour.01      | main_workflow | solved by filter  | pour.01      | WSD_large_scale |
| 2417 |   1880 |  4344 | take.10      | take.10      | take.01      | main_workflow | solved by fix     | take.10      | WSD_large_scale |
| 2418 |   1880 |  4345 | scare.01     | scare.01     | scare.01     | main_workflow | solved by compare | scare.01     | WSD_large_scale |
| 2419 |   1880 |  4346 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2420 |   2461 |  5627 | miss.01      | miss.01      | miss.01      | main_workflow | solved by filter  | miss.01      | WSD_large_scale |
| 2421 |   2063 |  4754 | argue.01     | argue.01     | argue.01     | main_workflow | solved by filter  | argue.01     | WSD_large_scale |
| 2422 |   2063 |  4755 | firm.02      | firm.02      | firm.02      | main_workflow | solved by filter  | firm.02      | WSD_large_scale |
| 2423 |   2063 |  4756 | undermine.01 | undermine.01 | undermine.01 | main_workflow | solved by filter  | undermine.01 | WSD_large_scale |
| 2424 |     76 |   185 | come.03      | come.03      | come.03      | main_workflow | solved by compare | come.03      | WSD_large_scale |
| 2425 |     76 |   188 | produce.01   | produce.01   | produce.01   | main_workflow | solved by filter  | produce.01   | WSD_large_scale |
| 2426 |    637 |  1474 | leave.01     | leave.13     | leave.01     | main_workflow | solved by compare | leave.01     | WSD_large_scale |
| 2427 |   2464 |  5635 | send.02      | send.02      | send.01      | main_workflow | solved by filter  | send.01      | WSD_large_scale |
| 2428 |   2464 |  5636 | run.02       | run.02       | run.01       | main_workflow | solved by fix     | run.01       | WSD_large_scale |
| 2429 |    153 |   370 | follow.02    | follow.02    | follow.02    | main_workflow | solved by compare | follow.02    | WSD_large_scale |
| 2430 |    153 |   373 | draw.02      | draw.02      | draw.02      | main_workflow | solved by compare | draw.02      | WSD_large_scale |
| 2431 |   1635 |  3778 | kick.04      | kick.04      | kick.04      | main_workflow | solved by fix     | kick.04      | WSD_large_scale |
| 2432 |    768 |  1749 | have.03      | have.03      | have.03      | main_workflow | solved by compare | have.03      | WSD_large_scale |
| 2433 |    328 |   749 | provide.01   | provide.01   | provide.01   | main_workflow | solved by filter  | provide.01   | WSD_large_scale |
| 2434 |   1032 |  2362 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2435 |   1032 |  2363 | last.01      | last.01      | last.01      | main_workflow | solved by filter  | last.01      | WSD_large_scale |
| 2436 |    735 |  1674 | raise.01     | raise.03     | raise.02     | main_workflow | solved by compare | raise.03     | WSD_large_scale |
| 2437 |    735 |  1678 | live.01      | live.01      | live.01      | main_workflow | solved by filter  | live.01      | WSD_large_scale |
| 2438 |   2010 |  4627 | try.01       | try.01       | try.01       | main_workflow | solved by compare | try.01       | WSD_large_scale |
| 2439 |   1463 |  3382 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2440 |   1463 |  3383 | post.01      | post.01      | post.01      | main_workflow | solved by compare | post.01      | WSD_large_scale |
| 2441 |   1592 |  3670 | cast.01      | cast.01      | cast.01      | main_workflow | solved by filter  | cast.01      | WSD_large_scale |
| 2442 |   1695 |  3937 | introduce.02 | introduce.02 | introduce.02 | main_workflow | solved by filter  | introduce.02 | WSD_large_scale |
| 2443 |   1695 |  3938 | run.01       | run.01       | run.01       | main_workflow | solved by filter  | run.01       | WSD_large_scale |
| 2444 |   1619 |  3741 | sell.01      | sell.01      | sell.01      | main_workflow | solved by filter  | sell.01      | WSD_large_scale |
| 2445 |    422 |   973 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2446 |    422 |   975 | pay.01       | pay.01       | pay.01       | main_workflow | solved by filter  | pay.01       | WSD_large_scale |
| 2447 |   2180 |  5004 | change.01    | change.01    | change.01    | main_workflow | solved by filter  | change.01    | WSD_large_scale |
| 2448 |   2180 |  5005 | follow.01    | follow.01    | follow.01    | main_workflow | solved by filter  | follow.01    | WSD_large_scale |
| 2449 |   1805 |  4166 | hold.01      | hold.01      | hold.01      | main_workflow | solved by compare | hold.01      | WSD_large_scale |
| 2450 |   1225 |  2793 | try.01       | try.01       | try.01       | main_workflow | solved by compare | try.01       | WSD_large_scale |
| 2451 |   1225 |  2795 | file.01      | file.01      | file.01      | main_workflow | solved by filter  | file.01      | WSD_large_scale |
| 2452 |    958 |  2176 | look.01      | look.01      | look.01      | main_workflow | solved by fix     | look.01      | WSD_large_scale |
| 2453 |    958 |  2177 | look.01      | look.01      | look.01      | main_workflow | solved by fix     | look.01      | WSD_large_scale |
| 2454 |    958 |  2178 | argue.01     | argue.01     | argue.01     | main_workflow | solved by filter  | argue.01     | WSD_large_scale |
| 2455 |   1397 |  3239 | see.01       | see.01       | see.01       | main_workflow | solved by compare | see.01       | WSD_large_scale |
| 2456 |   1397 |  3240 | go.01        | go.01        | go.04        | main_workflow | solved by fix     | go.01        | WSD_large_scale |
| 2457 |   1907 |  4405 | rise.01      | rise.01      | rise.01      | main_workflow | solved by filter  | rise.01      | WSD_large_scale |
| 2458 |   2519 |  5734 | tell.01      | tell.01      | tell.01      | main_workflow | solved by filter  | tell.01      | WSD_large_scale |
| 2459 |    349 |   788 | ease.02      | ease.02      | ease.02      | main_workflow | solved by compare | ease.02      | WSD_large_scale |
| 2460 |    349 |   789 | pile.02      | pile.02      | pile.02      | main_workflow | solved by filter  | pile.02      | WSD_large_scale |
| 2461 |    349 |   791 | move.01      | move.01      | move.01      | main_workflow | solved by filter  | move.01      | WSD_large_scale |
| 2462 |   1104 |  2512 | follow.01    | follow.01    | follow.01    | main_workflow | solved by compare | follow.01    | WSD_large_scale |
| 2463 |   2205 |  5062 | think.01     | think.01     | think.01     | main_workflow | solved by compare | think.01     | WSD_large_scale |
| 2464 |   2205 |  5063 | hold.01      | hold.01      | hold.01      | main_workflow | solved by compare | hold.01      | WSD_large_scale |
| 2465 |    766 |  1744 | climb.02     | climb.02     | climb.02     | main_workflow | solved by filter  | climb.02     | WSD_large_scale |
| 2466 |    766 |  1746 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2467 |     77 |   190 | indicate.01  | indicate.01  | indicate.01  | main_workflow | solved by filter  | indicate.01  | WSD_large_scale |
| 2468 |     77 |   191 | prompt.01    | prompt.01    | prompt.02    | main_workflow | solved by compare | prompt.02    | WSD_large_scale |
| 2469 |    643 |  1483 | put.11       | put.11       | put.11       | main_workflow | solved by compare | put.11       | WSD_large_scale |
| 2470 |    643 |  1484 | provide.01   | provide.01   | provide.01   | main_workflow | solved by filter  | provide.01   | WSD_large_scale |
| 2471 |   1609 |  3710 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2472 |    322 |   737 | try.01       | try.01       | try.01       | main_workflow | solved by compare | try.01       | WSD_large_scale |
| 2473 |    661 |  1523 | take.01      | take.01      | take.01      | main_workflow | solved by compare | take.01      | WSD_large_scale |
| 2474 |    661 |  1524 | think.01     | think.01     | think.01     | main_workflow | solved by compare | think.01     | WSD_large_scale |
| 2475 |    661 |  1525 | meet.01      | meet.01      | meet.01      | main_workflow | solved by compare | meet.01      | WSD_large_scale |
| 2476 |    661 |  1526 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
| 2477 |   1131 |  2572 | like.02      | like.02      | like.02      | main_workflow | solved by filter  | like.02      | WSD_large_scale |
| 2478 |   1131 |  2573 | see.01       | see.01       | see.01       | main_workflow | solved by compare | see.01       | WSD_large_scale |
| 2479 |   2607 |  5916 | stay.02      | stay.02      | stay.02      | main_workflow | solved by filter  | stay.02      | WSD_large_scale |
| 2480 |   2607 |  5917 | go.02        | go.02        | go.01        | main_workflow | solved by compare | go.01        | WSD_large_scale |
| 2481 |     83 |   206 | know.01      | know.01      | know.01      | main_workflow | solved by compare | know.01      | WSD_large_scale |
| 2482 |     83 |   207 | pump.01      | pump.01      | pump.01      | main_workflow | solved by filter  | pump.01      | WSD_large_scale |
| 2483 |   2102 |  4833 | stress.01    | stress.01    | stress.01    | main_workflow | solved by filter  | stress.01    | WSD_large_scale |
| 2484 |   2102 |  4837 | fall.01      | fall.01      | fall.01      | main_workflow | solved by compare | fall.01      | WSD_large_scale |
| 2485 |    213 |   512 | promote.02   | promote.02   | promote.02   | main_workflow | solved by filter  | promote.02   | WSD_large_scale |
| 2486 |    567 |  1316 | say.01       | say.01       | say.01       | main_workflow | solved by filter  | say.01       | WSD_large_scale |
